顧客名,年齢,合計金額
トナ ンセキタ,62,178196
ナクハ ヌヒシ,75,162500
ホテナ メミモ,30,161800
クヨクウ ヲト,24,158100
セヘワホ ヤシ,46,155500
ウカヤ シユ,94,153927
ヲカツム コオサ,80,152682
ンホクヤ トナアン,47,150200
ヨモイア オヲノ,58,145500
ヒクヤウ ヤカ,46,139617
フモユ ノムハマ,93,137800
ソウ トマホオ,82,137500
シヨキオ ヲヨワ,83,136393
ケイユ セヌヲメ,42,135300
シケト エエ,84,133600
ホスイモ ナシ,24,133300
ウニム カキ,57,132700
ミユ ヒトアユ,96,132200
カフ スケハ,44,132200
ツコオモ セホネ,95,131134
ンキケ ワトテナ,39,131113
チチ ミクタス,97,130700
キケネイ モヌヨ,77,130200
フクノ タミニ,86,129000
ワヒネヘ テキク,34,128700
トヘ セオエ,50,128200
カメ ケソウ,29,127220
チユチ カムアユ,28,126700
クホ タニサ,70,125914
ヲオヒ ユサヒ,23,125800
ネセヲ エウハメ,46,125400
ノマモソ ヒフモ,58,125300
ソオニ ソサ,85,124800
イオナ ノケ,77,124700
ユモナヲ ニイコエ,17,124644
ヨノヨエ アトコシ,83,124300
エメフ コチキ,66,124200
ソヌセ ネムクテ,28,123800
ヨモホ ニセ,89,123642
スフ チハシナ,43,123319
タアシ フヨイセ,17,123317
カカ コタ,21,122900
ンイツ チシイソ,34,122600
ココ メミハ,74,122600
テメ ホカウヒ,29,122457
ウミノヤ トシムニ,23,122100
ヲワヨ ノウエ,46,121700
ヒムシ メキユ,22,121100
ホチ セキ,90,120348
テソネ チハナケ,49,119800
エニスユ ヌマホエ,56,119700
シメフ フミメヲ,96,119600
コマ シス,44,119400
ノアコミ ウイヲ,47,119200
ツスオ キシ,30,119121
ミア ムネイ,81,119100
ヤユヲ トク,89,118900
カコエ ユホマオ,32,118900
ウヤ エムソモ,63,118360
アニテ ソナンナ,77,118300
ヒテ アツチ,97,118029
モシカ テヘス,86,117900
アツ カアヌ,64,117100
オテキ シヤワタ,28,116887
ムネ ツケ,32,116679
ヒマ ミヲンフ,41,116628
キオフ ヤホ,29,116400
キチ トセ,84,116200
ウナ ムノシ,64,115925
ヨヌケ ツナ,60,115600
フホエキ ノチ,24,115600
ヨクコヨ ツヤヨヲ,82,115500
ネナ タヌ,67,115500
シヌムヒ ニシキサ,15,115200
タチ エサ,23,114800
トフテア アユオ,20,114672
タハセ ヤメ,30,114600
ニカユ ツツナモ,23,114300
サマユム ノイフフ,22,114300
ミコ エサ,95,114224
マユキミ マモ,58,114221
クスワ ヘネ,49,113200
ネチクフ ヨヤネテ,31,113148
マユ ソチ,90,112700
ノホヘサ ワヌセイ,45,112600
ホネ ホムツネ,27,112500
ニメ ンヒ,39,112227
テワネ ヒスハセ,21,112193
ニムハハ ホムカ,64,112100
マホ ヘン,69,111953
ニホタ エカワ,53,111900
ケム メミスキ,17,111900
メセ イイ,38,111416
ウヌキオ ミヒム,69,111206
ヲメシコ ホテヒ,91,111200
ンタ ツンニ,97,111100
カチ ヒコ,55,111100
テヲケ ニシ,74,110971
ムマノク ヒタカ,49,110600
ムユ ネシネ,75,110454
ネヤヤ ナスキホ,64,110368
ミイヤタ ニソソ,29,110300
クツ ケミモヘ,37,110264
ヲヲマ ケハシ,45,109600
シハエフ シオ,45,109600
タヒヨム タツエ,65,109500
シヨヨト ヌチソタ,84,109007
ヲオ ハミモ,71,108900
タナカ ケヌヘ,86,108900
フトシシ ヌナヤハ,88,108663
スモクユ ケヒ,68,108300
ウナコ ヒオサイ,99,108300
エヘネ タスセミ,80,108200
