ID,顧客名,商品名,注文数
D1000163,テモ マケテ,eg12143,1
D1000163,テモ マケテ,fs11651,1
D1000163,テモ マケテ,ia10550,3
B1000289,ニセ ネネ,ex11800,1
B1000289,ニセ ネネ,nb10069,1
B1000289,ニセ ネネ,nf11720,3
E1000363,スノネ ホヒセテ,mn11006,2
E1000363,スノネ ホヒセテ,nv12896,1
E1000363,スノネ ホヒセテ,pp10994,2
V1000455,ネセムコ カイ,qq11194,2
W1000557,モム ヘソニ,xi10901,2
W1000557,モム ヘソニ,zt10912,3
V1000680,トヨヘフ シフケ,bt10577,2
Y1000728,マハネ ノヨ,cy11936,1
Y1000728,マハネ ノヨ,mq10094,2
Y1000728,マハネ ノヨ,nv10399,2
Y1000728,マハネ ノヨ,yw12845,3
Z1000837,ヤソセ シスンハ,en11476,1
Z1000837,ヤソセ シスンハ,mq12334,3
Z1000837,ヤソセ シスンハ,tj12794,2
Z1000837,ヤソセ シスンハ,ug11910,3
J1000984,ヌヲ イセイ,vq11104,1
U1001043,キテオ ツウ,ol11260,2
U1001043,キテオ ツウ,sl11205,3
Y1001136,ヒハフヨ チヲヒ,nm12077,3
Y1001136,ヒハフヨ チヲヒ,ok10135,1
A1001295,キヘ テワ,zi10877,3
N1001357,カキ キキモ,fw11046,1
N1001357,カキ キキモ,mk12618,1
N1001357,カキ キキモ,rc11357,1
F1001454,スメヲ エサメ,il12221,3
F1001454,スメヲ エサメ,ma11774,2
F1001454,スメヲ エサメ,ua11235,2
F1001454,スメヲ エサメ,xa12208,3
B1001565,ヨヨ テワ,pf11618,2
B1001565,ヨヨ テワ,pn12829,2
H1001696,ンニトヌ ミホフト,gs10510,2
H1001696,ンニトヌ ミホフト,qf12817,3
H1001696,ンニトヌ ミホフト,wt11781,2
T1001784,モイツワ フヲウユ,kw11077,1
T1001784,モイツワ フヲウユ,ym10476,2
T1001784,モイツワ フヲウユ,zx10344,3
U1001868,ニエ スシ,ri11879,3
U1001868,ニエ スシ,tb10441,1
U1001868,ニエ スシ,tz11729,3
I1001954,ヌウ フキソマ,bt10520,2
I1001954,ヌウ フキソマ,el11258,3
I1001954,ヌウ フキソマ,rj12568,1
K1002033,アメチヌ エケチ,gf11179,2
K1002033,アメチヌ エケチ,ik10153,3
K1002033,アメチヌ エケチ,jm12260,1
K1002033,アメチヌ エケチ,or10900,3
P1002192,クヌマ ウソフハ,gy12017,1
P1002192,クヌマ ウソフハ,sm12217,2
Z1002288,ケケヲ ヤツウス,ns12174,1
Z1002288,ケケヲ ヤツウス,us12855,3
I1002398,イヨス エワ,ar12029,2
I1002398,イヨス エワ,dv12821,2
I1002398,イヨス エワ,gh11219,1
I1002398,イヨス エワ,pf11240,1
I1002398,イヨス エワ,yh11401,2
I1002398,イヨス エワ,zv11638,1
S1002491,モミ ヲフムカ,bm11792,3
S1002491,モミ ヲフムカ,qm10352,2
S1002491,モミ ヲフムカ,rd10523,3
S1002491,モミ ヲフムカ,xs11445,3
V1002533,ノフチ スネシサ,gu11660,2
V1002533,ノフチ スネシサ,im12425,1
V1002533,ノフチ スネシサ,ki11464,1
V1002533,ノフチ スネシサ,yk12564,1
B1002685,ヒウ ユニ,jd12516,2
B1002685,ヒウ ユニ,mo12442,3
I1002757,ケアヌフ マコスマ,ac10306,2
I1002757,ケアヌフ マコスマ,lv10650,3
I1002757,ケアヌフ マコスマ,qy12698,3
I1002757,ケアヌフ マコスマ,sg10538,3
W1002811,ヘヌケ テチエ,ad12282,1
W1002811,ヘヌケ テチエ,gs12743,2
W1002811,ヘヌケ テチエ,ir12651,2
W1002811,ヘヌケ テチエ,zh12809,1
J1002933,チイ シノタ,hn11080,2
J1002933,チイ シノタ,nt12562,1
J1002933,チイ シノタ,rv10764,2
J1002933,チイ シノタ,wv12095,3
G1003057,カワトノ ナムヒホ,cq10799,3
G1003057,カワトノ ナムヒホ,st12811,2
G1003174,トマホ ムツネト,ah11232,1
G1003174,トマホ ムツネト,dc10458,3
G1003174,トマホ ムツネト,vi11233,2
I1003275,テネイ キミ,an10613,2
I1003275,テネイ キミ,bs11551,3
I1003275,テネイ キミ,gs10730,2
I1003275,テネイ キミ,qx10329,2
