名前,地区,年齢,合計金額,百円単位の四捨五入
マケテ テモ,滋賀県,88,45700,45700.0
ネネ ニセ,長野県,32,43600,43600.0
ホヒセテ スノネ,高知県,58,50000,50000.0
ヘソニ モム,群馬県,51,36500,36500.0
ノヨ マハネ,香川県,87,44119,44100.0
シスンハ ヤソセ,新潟県,45,57800,57800.0
テワ キヘ,福岡県,64,21300,21300.0
キキモ カキ,徳島県,77,29370,29400.0
エサメ スメヲ,岐阜県,55,50770,50800.0
ミホフト ンニトヌ,滋賀県,72,48400,48400.0
フヲウユ モイツワ,静岡県,95,25923,25900.0
スシ ニエ,秋田県,62,42700,42700.0
フキソマ ヌウ,奈良県,61,60400,60400.0
エケチ アメチヌ,山形県,22,76600,76600.0
ウソフハ クヌマ,佐賀県,36,43200,43200.0
ヤツウス ケケヲ,秋田県,45,23161,23200.0
エワ イヨス,香川県,42,100600,100600.0
ヲフムカ モミ,鹿児島県,24,40893,40900.0
スネシサ ノフチ,滋賀県,60,86000,86000.0
ユニ ヒウ,大阪府,54,26100,26100.0
マコスマ ケアヌフ,福井県,84,60379,60400.0
テチエ ヘヌケ,山口県,47,38425,38400.0
シノタ チイ,鹿児島県,81,78390,78400.0
ナムヒホ カワトノ,高知県,31,29200,29200.0
ムツネト トマホ,大阪府,60,37100,37100.0
キミ テネイ,沖縄県,33,70200,70200.0
オニ ソヒマヨ,埼玉県,80,43249,43200.0
ミフク ツオセエ,静岡県,57,20517,20500.0
チワ ネイツ,香川県,68,47720,47700.0
シテソス トカウ,神奈川県,88,38900,38900.0
ネチサ ムシア,栃木県,94,40800,40800.0
ハワシヲ イシ,島根県,64,59000,59000.0
チヌ モワヤト,埼玉県,76,58700,58700.0
テエ ミエカケ,京都府,41,61791,61800.0
ノカ ホフメ,京都府,61,50500,50500.0
ナヘタケ ヲニネ,長崎県,16,81400,81400.0
ネイア サミタホ,和歌山県,53,55400,55400.0
ヨキツニ スクキス,島根県,53,24200,24200.0
ユモホ アメフ,福島県,46,33500,33500.0
ヘメ ソソシ,神奈川県,45,27300,27300.0
メヨノケ サカメケ,徳島県,41,30882,30900.0
モタカカ ウヒノ,静岡県,82,38761,38800.0
ハシワカ ユク,岐阜県,63,28604,28600.0
ケス ニミカン,山梨県,85,34151,34200.0
ナチネ ヨクノ,福井県,38,78700,78700.0
ノハヲ ハヒアコ,岐阜県,47,40900,40900.0
チマカ ユノメ,宮城県,47,30803,30800.0
ミクカ オマカヤ,三重県,15,25505,25500.0
タトワメ ヲワナワ,埼玉県,61,20868,20900.0
キク マホチ,和歌山県,82,38800,38800.0
ノイフフ サマユム,岩手県,22,114300,114300.0
クウメ ヌクオオ,栃木県,41,26868,26900.0
ホヲナ ソウホ,愛媛県,43,36300,36300.0
セモ トエナ,青森県,32,41500,41500.0
ヒワウ テスサ,福岡県,21,91000,91000.0
ワハウチ クネモフ,山口県,75,80200,80200.0
ニスモ ネヤヨイ,長野県,15,44900,44900.0
フマヘ チカソハ,滋賀県,28,26637,26600.0
ソエミ ソヘヲソ,埼玉県,60,46500,46500.0
ハセ ハフキ,島根県,87,49226,49200.0
ホツ チケチ,山形県,60,22300,22300.0
ンヌセ アチ,愛媛県,62,44600,44600.0
オテソシ ヤツ,鹿児島県,72,53000,53000.0
イテキカ ナホ,島根県,25,46400,46400.0
サイヘエ ノハ,高知県,17,52377,52400.0
サハフヲ メフエ,三重県,90,39100,39100.0
