顧客名,商品名,注文数,注文金額
マケテ テモ,eg12143,1,2600
マケテ テモ,fs11651,1,20900
マケテ テモ,ia10550,3,66600
ネネ ニセ,ex11800,1,24400
ネネ ニセ,nb10069,1,14400
ネネ ニセ,nf11720,3,14400
ホヒセテ スノネ,mn11006,2,13000
ホヒセテ スノネ,nv12896,1,27800
ホヒセテ スノネ,pp10994,2,31400
カイ ネセムコ,qq11194,2,37000
ヘソニ モム,xi10901,2,25400
ヘソニ モム,zt10912,3,71400
シフケ トヨヘフ,bt10577,2,21200
ノヨ マハネ,cy11936,1,6100
ノヨ マハネ,mq10094,2,50200
ノヨ マハネ,nv10399,2,1438
ノヨ マハネ,yw12845,3,36600
シスンハ ヤソセ,en11476,1,8100
シスンハ ヤソセ,mq12334,3,54000
シスンハ ヤソセ,tj12794,2,55800
シスンハ ヤソセ,ug11910,3,11400
イセイ ヌヲ,vq11104,1,13800
ツウ キテオ,ol11260,2,32400
ツウ キテオ,sl11205,3,7800
チヲヒ ヒハフヨ,nm12077,3,24300
チヲヒ ヒハフヨ,ok10135,1,4200
テワ キヘ,zi10877,3,63900
キキモ カキ,fw11046,1,4800
キキモ カキ,mk12618,1,23400
キキモ カキ,rc11357,1,1170
エサメ スメヲ,il12221,3,77100
エサメ スメヲ,ma11774,2,37200
エサメ スメヲ,ua11235,2,9000
エサメ スメヲ,xa12208,3,5910
テワ ヨヨ,pf11618,2,11800
テワ ヨヨ,pn12829,2,4152
ミホフト ンニトヌ,gs10510,2,27200
ミホフト ンニトヌ,qf12817,3,74100
ミホフト ンニトヌ,wt11781,2,20200
フヲウユ モイツワ,kw11077,1,823
フヲウユ モイツワ,ym10476,2,23000
フヲウユ モイツワ,zx10344,3,40800
スシ ニエ,ri11879,3,22200
スシ ニエ,tb10441,1,9800
スシ ニエ,tz11729,3,76500
フキソマ ヌウ,bt10520,2,42800
フキソマ ヌウ,el11258,3,71100
フキソマ ヌウ,rj12568,1,15300
エケチ アメチヌ,gf11179,2,8000
エケチ アメチヌ,ik10153,3,59700
エケチ アメチヌ,jm12260,1,29600
エケチ アメチヌ,or10900,3,69300
ウソフハ クヌマ,gy12017,1,18500
ウソフハ クヌマ,sm12217,2,49400
ヤツウス ケケヲ,ns12174,1,21300
ヤツウス ケケヲ,us12855,3,5583
エワ イヨス,ar12029,2,29400
エワ イヨス,dv12821,2,59000
エワ イヨス,gh11219,1,18400
エワ イヨス,pf11240,1,18700
エワ イヨス,yh11401,2,26400
エワ イヨス,zv11638,1,6100
ヲフムカ モミ,bm11792,3,43800
ヲフムカ モミ,qm10352,2,14600
ヲフムカ モミ,rd10523,3,53700
ヲフムカ モミ,xs11445,3,3279
スネシサ ノフチ,gu11660,2,58200
スネシサ ノフチ,im12425,1,20500
スネシサ ノフチ,ki11464,1,12300
スネシサ ノフチ,yk12564,1,24100
ユニ ヒウ,jd12516,2,20200
ユニ ヒウ,mo12442,3,48000
マコスマ ケアヌフ,ac10306,2,59400
マコスマ ケアヌフ,lv10650,3,6237
マコスマ ケアヌフ,qy12698,3,9600
マコスマ ケアヌフ,sg10538,3,76200
テチエ ヘヌケ,ad12282,1,21300
テチエ ヘヌケ,gs12743,2,15400
テチエ ヘヌケ,ir12651,2,15800
テチエ ヘヌケ,zh12809,1,1525
シノタ チイ,hn11080,2,57000
シノタ チイ,nt12562,1,2490
シノタ チイ,rv10764,2,51000
シノタ チイ,wv12095,3,65700
ナムヒホ カワトノ,cq10799,3,52200
ナムヒホ カワトノ,st12811,2,23600
ムツネト トマホ,ah11232,1,7000
ムツネト トマホ,dc10458,3,14700
ムツネト トマホ,vi11233,2,50400
キミ テネイ,an10613,2,53400
キミ テネイ,bs11551,3,34500
キミ テネイ,gs10730,2,33800
キミ テネイ,qx10329,2,19000
キミ テネイ,wz12218,3,16800
オニ ソヒマヨ,bb10880,2,16400
オニ ソヒマヨ,co12408,2,2898
オニ ソヒマヨ,dh12451,1,21500
オニ ソヒマヨ,jg10081,2,24200
ミフク ツオセエ,bm11792,2,29200
ミフク ツオセエ,dp12276,3,11700
